WshedID,BASINID,DiversionID,AreaM2,CellCount,RainMeanMM,RainSumMM,BFQ95,AB_Sum,AS_Sum,ES_Sum,LC_Sum,MG_Sum,NG_Sum,SH_Sum,SS_Sum,AB_E,AS_E,ES_E,LC_E,MG_E,NG_E,SH_E,SS_E,Wshed_Name,Lease_ID,IIFS,Private_ID,Taro_ID,dVolume
22,133,11,761700,7617,3325,25329800,1.578,662,598,46,876,95,401,13,420,662,598,46,876,95,401,13,420,Kaaiea,Huelo,No,,No,0
23,134,1,4900,49,3580,175398,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kaaiea,Huelo,No,,No,0
23,135,1,57400,574,3709,2129220,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,136,1,117000,1170,3769,4409720,0.093,286,90,0,420,0,38,0,29,286,90,0,420,0,38,0,29,Oopuola,Huelo,No,,No,0
23,137,1,68200,682,3882,2647360,0.036,149,50,0,217,0,22,0,16,149,50,0,217,0,22,0,16,Oopuola,Huelo,No,,No,0
23,138,8,13000,130,3973,516546,0.003,23,5,0,29,0,2,0,2,23,5,0,29,0,2,0,2,Oopuola,Huelo,No,,No,0
23,139,8,269100,2691,4179,11246800,0.216,370,46,0,288,0,22,0,19,370,46,0,288,0,22,0,19,Oopuola,Huelo,No,,No,0
23,140,8,229100,2291,4227,9683150,0.166,635,105,0,471,0,43,0,38,635,105,0,471,0,43,0,38,Oopuola,Huelo,No,,No,0
23,141,7,38300,383,4398,1684310,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,142,7,53800,538,4449,2393440,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,143,7,6200,62,4378,271462,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,144,7,9100,91,4367,397361,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,145,7,14300,143,4334,619789,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,146,9,232900,2329,4594,10700100,0.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,147,9,209800,2098,4700,9859950,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,148,9,83800,838,4616,3867930,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oopuola,Huelo,No,,No,0
23,149,9,611200,6112,4846,29621700,0.446,2218,48,0,845,0,16,0,7,2218,48,0,845,0,16,0,7,Oopuola,Huelo,No,,No,0
24,150,11,653500,6535,3091,20196800,1.503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,151,1,8700,87,3428,298216,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,152,1,282700,2827,3875,10955600,0.204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,153,8,143100,1431,4086,5846520,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,154,8,11000,110,3955,435044,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,155,7,28800,288,4292,1236080,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
24,156,9,130100,1301,4528,5890420,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Puehu,Huelo,No,,No,0
25,157,11,568200,5682,2958,16804500,0.978,717,329,0,926,2,331,0,164,717,329,0,926,2,331,0,164,Naiiliilihaele,Huelo,No,,No,0
25,158,8,69700,697,3412,2378230,0.041,74,30,0,119,0,30,0,12,74,30,0,119,0,30,0,12,Naiiliilihaele,Huelo,No,,No,0
